long_fundid,double_gainaby,double_riskaby,long_hitcount
12009551,50.0,50.0,Null
12010913,50.0,50.0,Null
12009559,50.0,50.0,Null
12008931,50.0,50.0,Null
12009568,50.0,50.0,Null
12009563,50.0,50.0,Null
12010935,50.0,50.0,Null
12010167,50.0,50.0,Null
12010169,50.0,50.0,Null
12007875,50.0,50.0,Null
12010155,50.0,50.0,Null
12007873,50.0,50.0,Null
12007874,50.0,50.0,Null
12010156,50.0,50.0,Null
12007868,50.0,50.0,Null
12129186,50.0,50.0,Null
12010959,50.0,50.0,Null
12010145,50.0,50.0,Null
12010148,50.0,50.0,Null
12008993,50.0,50.0,Null
12007854,50.0,50.0,Null
12008459,50.0,50.0,Null
12007853,50.0,50.0,Null
12010138,50.0,50.0,Null
12010136,50.0,50.0,Null
12010960,50.0,50.0,Null
12008985,50.0,50.0,Null
12010133,50.0,50.0,Null
12008981,50.0,50.0,Null
12008473,50.0,50.0,Null
12008472,50.0,50.0,Null
12007849,50.0,50.0,Null
12007843,50.0,50.0,Null
12007834,50.0,50.0,Null
12010198,50.0,50.0,Null
12010199,50.0,50.0,Null
12007826,50.0,50.0,Null
12007813,50.0,50.0,Null
12007815,50.0,50.0,Null
12010194,50.0,50.0,Null
12007810,50.0,50.0,Null
12007811,50.0,50.0,Null
12010176,50.0,50.0,Null
12010177,50.0,50.0,Null
12007808,50.0,50.0,Null
12007804,50.0,50.0,Null
12011205,50.0,50.0,Null
12008412,50.0,50.0,Null
12007088,50.0,50.0,Null
12011218,50.0,50.0,Null
12011219,50.0,50.0,Null
12007074,50.0,50.0,Null
12011216,50.0,50.0,Null
12008400,50.0,50.0,Null
12011214,50.0,50.0,Null
12007075,50.0,50.0,Null
12007057,50.0,50.0,Null
12007034,50.0,50.0,Null
12007031,50.0,50.0,Null
12007030,50.0,50.0,Null
12008426,50.0,50.0,Null
12008428,50.0,50.0,Null
12007009,50.0,50.0,Null
12007010,50.0,50.0,Null
12009546,50.0,50.0,Null
12009539,50.0,50.0,Null
12011299,50.0,50.0,Null
12011267,50.0,50.0,Null
12011268,50.0,50.0,Null
12011265,50.0,50.0,Null
12011266,50.0,50.0,Null
12011264,50.0,50.0,Null
12011273,50.0,50.0,Null
12011272,50.0,50.0,Null
12009519,50.0,50.0,Null
12009518,50.0,50.0,Null
12011274,50.0,50.0,Null
12009511,50.0,50.0,Null
12011280,50.0,50.0,Null
12009502,50.0,50.0,Null
12011248,50.0,50.0,Null
12011247,50.0,50.0,Null
12011226,50.0,50.0,Null
12011225,50.0,50.0,Null
12011224,50.0,50.0,Null
12011222,50.0,50.0,Null
12011221,50.0,50.0,Null
12011227,50.0,50.0,Null
12011231,50.0,50.0,Null
12011233,50.0,50.0,Null
12007094,50.0,50.0,Null
12009476,50.0,50.0,Null
12009486,50.0,50.0,Null
12009480,50.0,50.0,Null
12009499,50.0,50.0,Null
12011081,50.0,50.0,Null
12011082,50.0,50.0,Null
12011085,50.0,50.0,Null
12011084,50.0,50.0,Null
12011077,50.0,50.0,Null
12009432,50.0,50.0,Null
12011071,50.0,50.0,Null
12011072,50.0,50.0,Null
12009438,50.0,50.0,Null
12009447,50.0,50.0,Null
12009443,50.0,50.0,Null
12009442,50.0,50.0,Null
12009450,50.0,50.0,Null
12010001,50.0,50.0,Null
12010004,50.0,50.0,Null
12009455,50.0,50.0,Null
12010002,50.0,50.0,Null
12009458,50.0,50.0,Null
12011098,50.0,50.0,Null
12011097,50.0,50.0,Null
12011092,50.0,50.0,Null
12011093,50.0,50.0,Null
12009462,50.0,50.0,Null
12009469,50.0,50.0,Null
12009467,50.0,50.0,Null
12010025,50.0,50.0,Null
12008345,50.0,50.0,Null
12010024,50.0,50.0,Null
12007982,50.0,50.0,Null
12010027,50.0,50.0,Null
12007984,50.0,50.0,Null
12007980,50.0,50.0,Null
12010831,50.0,50.0,Null
12010833,50.0,50.0,Null
12007978,50.0,50.0,Null
12007975,50.0,50.0,Null
12010841,50.0,50.0,Null
12010015,50.0,50.0,Null
12007965,50.0,50.0,Null
12010044,50.0,50.0,Null
12008367,50.0,50.0,Null
12010816,50.0,50.0,Null
12010819,50.0,50.0,Null
12010050,50.0,50.0,Null
12010034,50.0,50.0,Null
12008375,50.0,50.0,Null
12008374,50.0,50.0,Null
12007995,50.0,50.0,Null
12010821,50.0,50.0,Null
12010826,50.0,50.0,Null
12010829,50.0,50.0,Null
12007118,50.0,50.0,Null
12010068,50.0,50.0,Null
12008384,50.0,50.0,Null
12008385,50.0,50.0,Null
12010067,50.0,50.0,Null
12008390,50.0,50.0,Null
12010887,50.0,50.0,Null
12010882,50.0,50.0,Null
12008398,50.0,50.0,Null
12010054,50.0,50.0,Null
12007926,50.0,50.0,Null
12010853,50.0,50.0,Null
12010850,50.0,50.0,Null
12010090,50.0,50.0,Null
12007953,50.0,50.0,Null
12010093,50.0,50.0,Null
12010869,50.0,50.0,Null
12010077,50.0,50.0,Null
12010081,50.0,50.0,Null
12007944,50.0,50.0,Null
12007946,50.0,50.0,Null
12010892,50.0,50.0,Null
12008312,50.0,50.0,Null
12007148,50.0,50.0,Null
12007162,50.0,50.0,Null
12007164,50.0,50.0,Null
12008318,50.0,50.0,Null
12008322,50.0,50.0,Null
12007155,50.0,50.0,Null
12011149,50.0,50.0,Null
12011146,50.0,50.0,Null
12011144,50.0,50.0,Null
12009400,50.0,50.0,Null
12011151,50.0,50.0,Null
12011158,50.0,50.0,Null
12011154,50.0,50.0,Null
12011155,50.0,50.0,Null
12011163,50.0,50.0,Null
12009424,50.0,50.0,Null
12011165,50.0,50.0,Null
12011168,50.0,50.0,Null
12011170,50.0,50.0,Null
12011174,50.0,50.0,Null
12009416,50.0,50.0,Null
12011173,50.0,50.0,Null
12009415,50.0,50.0,Null
12011172,50.0,50.0,Null
12009413,50.0,50.0,Null
12009407,50.0,50.0,Null
12009404,50.0,50.0,Null
12011102,50.0,50.0,Null
12011101,50.0,50.0,Null
12011100,50.0,50.0,Null
12011117,50.0,50.0,Null
12011119,50.0,50.0,Null
12011111,50.0,50.0,Null
12011122,50.0,50.0,Null
12011121,50.0,50.0,Null
12011120,50.0,50.0,Null
12011125,50.0,50.0,Null
12011124,50.0,50.0,Null
12011131,50.0,50.0,Null
12011133,50.0,50.0,Null
